Text.Chunk,Agent.Label,Agent.Score,Sentiment.Label,Sentiment.Score,Report,Human.Label
A prolonged period of low interest rates may put pressure on some life insurers’ business models.,Financial Sector,0.905224323,negative,0.924534261,2015_1.docx,negative
"Progress on the medium-term capital framework and ending ‘too big to fail’, together, mean that the overall design of the prudential regulatory framework has now largely been set out. Further work is planned to finalise the calibration of parts of the prudential regulatory framework and to complete its implementation. There has also been progress on measures to ensure diverse and resilient sources of market-based finance.",Financial Sector,0.945926666,positive,0.628542006,2014_2.docx,positive
"Some major UK banks continue to face the challenge of weak profitability, which is reflected in market valuations of their equity. While net interest margins are stable, major UK banks continue to face a range of headwinds including redress for past misconduct and weak investment banking returns. Changes to financial firms’ business models and structures as the United Kingdom withdraws from the European Union could have implications for the resilience of the financial system in the United Kingdom and more broadly. A prolonged period of low returns could harm banks’ ability to absorb the impact of future shocks through retained earnings and threaten the resilience of the provision of financial services to the real economy, a risk that will be assessed in the 2017 exploratory scenario.",Financial Sector,0.974914372,negative,0.979019701,2016_2.docx,negative
"Pressures on household finances will increase over 2023. In total around half of owner occupier mortgages (around 4 million) will be exposed to rate rises over the next year. Falling real incomes, increases in mortgage costs and higher unemployment will place significant pressure on household finances. The share of households with high cost of living adjusted mortgage debt-servicing ratios would increase over 2023 to 2.4%, assuming current market pricing of Bank Rate, but remain lower than in the global financial crisis (GFC). Households are also experiencing increased pressure on their ability to service other types of consumer debt, such as credit cards and personal loans.",Households,0.923635781,negative,0.976074994,2022_2.docx,negative
"Overall, however, market contacts reported that conditions in many financial markets were less strained than in late 2011.",Financial Sector,0.976804674,positive,0.654163063,2012_1.docx,positive
"The UK Government has committed to legislate, if necessary, to put in place a temporary permissions regime to enable EU‑based financial companies to continue to provide financial services to UK end‑users. Once enacted, this will mitigate a number of risks of disruption to UK customers.",Financial Sector,0.948660553,positive,0.808799207,2018_1.docx,positive
"Due to the unprecedented nature of the shock, the lack of granularity in reporting requirements for smaller companies and the associated imputations that were necessary for the analysis, estimating the impact of the Covid-19 shock on smaller companies carries an even higher degree of uncertainty than it does for larger companies. More information on the assumptions made in this analysis and the methodology used to project cash-flow deficits is set out in the ‘Technical annex’.",Financial Sector,0.84117198,negative,0.975099087,2020_1.docx,negative
"US exposures account for around a quarter of UK banks’ foreign claims. While the US economic outlook has improved, there are downside risks to the US housing market, reflecting an overhang of supply and the potential for a rise in foreclosure rates as official sector support is unwound. That could increase losses on US household lending, where around a quarter of mortgagors are currently in negative equity (see box on pages 26–27).",Financial Sector,0.766919315,negative,0.978415191,2010_1.docx,negative
"Interest income accounts for over 70% of the sector’s earnings. The low interest rate environment has squeezed interest margins, an effect exacerbated, in some cases, by contractual limits on societies’ ability to raise interest rates on existing loans. This has eaten into building societies’ profitability (Chart B).",Financial Sector,0.478256792,negative,0.946745038,2010_1.docx,negative
"Prior to November 2017, a private company had operated CHAPS using the RTGS infrastructure provided by the Bank — a structure that was unusual internationally and hindered certain aspects of risk management. The rationale for the shift to ‘direct delivery’ is outlined more fully in the June 2017 Financial Stability Report.",Financial Sector,0.969723403,negative,0.944624782,2019_1.docx,none
"In June, the Parliamentary Commission on Banking Standards (PCBS) requested that the FPC provide, by the end of this year, its own assessment of the appropriate leverage ratio and whether it should be used as a ‘frontstop’ rather than a ‘backstop’. The Committee noted in September that some evaluation might be possible on that timescale, but a full assessment would depend on the definition of leverage agreed internationally. Box 2 sets out the Committee’s view on issues relevant to the PCBS recommendation. In particular, it discusses the role of the leverage ratio alongside other capital adequacy metrics and how, given that role, the leverage ratio should be able to be adjusted if other capital measures are changed. In that sense, the ‘backstop’ versus ‘frontstop’ debate was potentially unhelpful.",Financial Sector,0.945371747,negative,0.891024768,2013_2.docx,none
