Text.Chunk,Agent.Label,Agent.Score,Sentiment.Label,Sentiment.Score,Report,Human Label
"The economic impact of the underpinning assumptions are modelled using established empirical economic relationships, including those between economic openness and trade and productivity.",Firms,0.835345149,positive,0.85293752,2018_2.docx,positive
Risks from the US corporate sector remain material.,Firms,0.524136841,negative,0.979175687,2018_2.docx,negative
"Specifically, such resolution is likely to cause less disruption to the depositors of a bank that has got into difficulties, either by supporting the continuity of banking services upon which they are relying or by facilitating a rapid payout by the deposit insurer. Furthermore, by triggering the regime before insolvency, the authorities can resolve a failing bank when it still has some value, which in turn may make the overall resolution less costly.",Financial Sector,0.969808638,positive,0.666304946,2008_1.docx,positive
"An adjustment in asset prices could be amplified by the behaviour of some investors, which would affect the supply of credit to the real economy.",Financial Sector,0.925528884,negative,0.983528256,2017_1.docx,negative
"The baseline stress scenario makes a simplifying assumption that US monetary policy evolves according to a Taylor rule. This mechanical rule suggests policy rates rise to counteract the inflationary consequences of the US dollar depreciation. To test the sensitivity of the results to this assumption, an alternative scenario looks at the impact if policy rates are unchanged.",Central Bank,0.952950716,negative,0.883508086,2007_1.docx,none
Increasing the resilience of the supply of liquidity in stress.,Financial Sector,0.951978922,positive,0.73147428,2024_2.docx,positive
"The full impact of recent events on financial institutions may not yet be fully apparent. As Section 2 discusses, profitability at LCFIs has been adversely affected by the market turmoil because they have been at the heart of the growth of the structured credit markets. The funding position of a large number of institutions is more fragile than for some time, as maturities have been shortened and lending terms tightened. Some firms have made large write-downs on mortgage and leverage loan portfolios intended for distribution. But, in general, losses from the recent episode do not appear to have been fully accounted for by disclosures to date.",Financial Sector,0.970651269,negative,0.969816804,2007_2.docx,negative
"The Committee recommends that banks work to assess, manage and mitigate specific risks to their balance sheets stemming from current and future potential stress in the euro area.",Financial Sector,0.978801191,negative,0.893128157,2012_1.docx,negative
"Those equivalence decisions will, beyond the end of the temporary regimes and powers, allow favourable regulatory treatment for UK banks’ and insurers’ cross-border activity with the EU, and facilitate UK users’ continued access to EU central counterparties (CCPs) and central securities depositories (CSDs). The Government may make further equivalence determinations in the future.",Financial Sector,0.968168497,positive,0.880329728,2020_2.docx,positive
Market liquidity and market-based finance could also be challenged by the United Kingdom’s new relationship with the European Union.,Financial Sector,0.898082733,negative,0.981847525,2016_2.docx,negative
